Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$223,057,925,200",1.52%,29.74,5.33,-25.86
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$219,093,525,343",1.11%,35.31,3.86,10.67
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$215,015,546,204",2.09%,15.27,1.85,2.25
VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$214,802,636,785",6.12%,9.75,1.61,2.63
CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$213,127,200,000",0.00%,151.72,8.05,3.77
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$212,562,551,557",0.00%,45.63,13.17,15.99
NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$211,628,784,457",0.86%,35.97,4.52,18.24
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$211,600,237,217",1.51%,29.98,4.91,5.92
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$209,748,720,000",2.70%,10.71,2.65,2.23
DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$208,503,818,241",0.30%,33.76,7.08,4.69
MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"$205,131,907,043",3.26%,15.79,4.09,5.4
WFC,Wells Fargo,Common stocks,Large cap,Financials,"$196,960,305,729",1.44%,9.68,2.52,1.05
UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$189,779,020,000",2.07%,12.66,1.95,11.45
MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$180,646,471,391",2.18%,24.46,7.78,-40.11
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$178,269,168,904",1.75%,18.15,4.95,15.99
UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"$175,363,758,820",1.62%,26.72,8.04,12.31
SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$172,499,538,125",0.80%,30.88,9.31,2.94
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$171,359,901,999",2.32%,22.73,9.34,13.22
T,AT&T Inc.,Common stocks,Large cap,Communication Services,"$170,500,849,728",8.50%,8.62,1.01,0.93
NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"$167,223,828,478",0.00%,33.83,5.63,10.92
NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"$165,404,276,047",1.86%,46.48,9.69,4.46
LIN,Linde Plc,Common stocks,Large cap,Materials,"$165,370,658,410",1.34%,43.72,5.37,3.8
MS,Morgan Stanley,Common stocks,Large cap,Financials,"$163,775,979,042",2.66%,11.31,2.9,1.55
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$159,358,804,270",2.72%,22.82,3.44,4.43
TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$158,022,686,281",0.00%,53.06,1.97,2.32
RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$151,396,364,419",1.99%,38.98,2.35,2.06
MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"$147,475,401,838",2.27%,30.68,4.64,2.87
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$144,204,243,461",0.00%,46.74,8.77,19.71
SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"$143,842,635,957",0.74%,47.91,17.34,71.29
AXP,American Express,Common stocks,Large cap,Financials,"$143,657,705,468",0.90%,18.2,3.36,6.57
PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$142,716,056,461",5.27%,15.96,4.54,-17.68
CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"$141,803,626,425",1.88%,17.37,0.49,1.82
LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"$141,428,574,073",1.40%,17.27,0,-30.16
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$135,448,551,454",2.97%,23.09,5.21,20.31
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$135,338,620,743",0.00%,33.86,5.33,6.5
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$135,115,298,675",1.92%,24.43,3.93,7.04
COP,ConocoPhillips,Common stocks,Large cap,Energy,"$134,501,035,806",1.70%,16.2,2.93,2.88
DE,Deere & Company,Common stocks,Large cap,Industrials,"$132,717,967,703",0.90%,22.45,3.01,7.12
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$131,678,618,656",0.53%,63.2,11.54,8.8
ANTM,Anthem Inc,Common stocks,Large cap,Health Care,"$122,780,045,082",0.96%,20.37,0.89,3.45
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$121,608,106,005",0.87%,19.08,5.03,10.51
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$118,886,764,114",1.95%,18.25,2.33,7.19
PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"$118,688,144,094",1.66%,41.56,24.94,3.23
LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$118,602,343,373",2.40%,18.45,1.77,10.63
IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"$118,232,283,859",4.90%,20.66,2.06,6.28
NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$116,552,000,000",0.00%,519.78,19.77,32.35
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$114,013,555,662",2.28%,19.92,5.88,3.11
GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"$113,306,248,141",2.15%,5.43,1.95,1.04
